Tag ID;Name;Cantidad
ad89180010d6958b3a000081;Kit_1;1
ad89180010d68d8b39000080;Kit_1;1
ad89180010d6a98c39000083;Kit_1;1
ad89180010d6878a3900007e;Kit_2;1
ad89180010d6858a3900007f;Kit_2;1
ad89180010d67d8b3900007d;Kit_2;1
a11567656350050000000000;Kit_2;1
ad89180010d6d38a35000088;Kit_3;1
ad89180010d6c58c39000085;Kit_3;1
ad89180010d6a1883a000082;Kit_3;1
ad89180010d6b18a39000084;Kit_4;1
ad89180010d6c3873c000086;Kit_4;1
ad89180010d6cb8e38000087;Kit_4;1
ad89180010d6e58c3600008a;Kit_5;1
ad89180010d6dd8a36000089;Kit_5;1
ad89180010d6f58f3600008b;Kit_5;1
ad89180010d66d8c3a00007c;Kit_6;1
ad89180010d65b8d3800007a;Kit_6;1
ad89180010d6638f3900007b;Kit_6;1
ad89180010d7398a39000094;Kit_7;1
ad89180010d7318b39000093;Kit_7;1
ad89180010d741893a000095;Kit_7;1
ad89180010d6fd8e3a00008d;Kit_8;1
ad89180010d705873900008e;Kit_8;1
ad89180010d6ff8c3600008c;Kit_8;1
