Tag ID;Name;Cantidad;Última Actualización
300833b2ddd906c000000000;tag1;4;
ad89180010d64b9039000077;tag3;1;2023-11-21 11:32:46
ad89180010d6298b35000074;tag2;1;2023-11-21 11:33:20
